"","Pattern","Gene"
"448",6,"LOC102799132"
"449",6,"igfbp6b"
"450",6,"LOC102787363"
"451",6,"LOC102789705"
"452",6,"LOC102797851"
"453",6,"si:ch211-195b13.1"
"454",6,"LOC102794909"
"455",6,"LOC102780419"
"456",6,"bhlhe22"
"457",6,"crhb"
"458",6,"LOC102798443"
"459",6,"rttn"
"460",6,"si:dkey-79d12.4"
"461",6,"macf1b"
"462",6,"znf407"
"463",6,"LOC102786068"
"464",6,"LOC102798933"
"465",6,"map3k22"
"466",6,"zbtb47b"
"467",6,"oprd1a"
"468",6,"LOC102780035"
"469",6,"laynb"
"470",6,"scn3b"
"471",6,"sept4b"
"472",6,"LOC102795384"
"473",6,"LOC102791526"
"474",6,"smad2"
"475",6,"stbd1"
"476",6,"phf24"
"477",6,"LOC102794246"
"478",6,"LOC102797552"
"479",6,"mtnr1aa"
"480",6,"alkbh5"
"481",6,"LOC102777662"
"482",6,"LOC102798545"
"483",6,"LOC102776789"
"484",6,"slc6a1a"
"485",6,"LOC102794447"
"486",6,"nectin3a"
"487",6,"LOC102790291"
"488",6,"prdm10"
"489",6,"zgc:73226"
"490",6,"LOC102783517"
"491",6,"LOC102793177"
"492",6,"chrna2b"
"493",6,"sox7"
"494",6,"gpatch2"
"495",6,"mgat4b"
"496",6,"LOC102796974"
"497",6,"LOC102795785"
"498",6,"mapk1"
"499",6,"LOC102788172"
"500",6,"ddx47"
"501",6,"LOC102777864"
"502",6,"dexi"
"503",6,"tlk2"
"504",6,"vat1"
"505",6,"LOC102775921"
"506",6,"pacrg"
"507",6,"LOC102790007"
"508",6,"map4k5"
"509",6,"pygl"
"510",6,"LOC102787882"
"511",6,"LOC102782461"
"512",6,"nxph2a"
"513",6,"LOC102785799"
"514",6,"klf7b"
"515",6,"drosha"
"516",6,"LOC102790593"
"517",6,"LOC102792291"
"518",6,"LOC102794455"
"519",6,"srrm3"
"520",6,"fzd9b"
"521",6,"LOC118453355"
"522",6,"LOC102790972"
"523",6,"elavl4"
"524",6,"tpm4a"
"525",6,"dact1"
"526",6,"LOC102775754"
"527",6,"LOC102777959"
"528",6,"dst"
"529",6,"khdrbs2"
"530",6,"tax1bp1b"
"531",6,"igsf9ba"
"532",6,"plch1"
"533",6,"per1b"
"534",6,"syngap1b"
"535",6,"LOC102781494"
"536",6,"LOC102796502"
"537",6,"LOC102800018"
"538",6,"LOC102788552"
"539",6,"cd99"
"540",6,"LOC102787401"
"541",6,"carmil3"
"542",6,"dedd1"
"543",6,"ttyh1"
"544",6,"leng9"
"545",6,"cd2bp2"
"546",6,"glra4a"
"547",6,"enox2"
"548",6,"sfxn5b"
"549",6,"thap7"
"550",6,"LOC102785635"
"551",6,"bpnt2"
"552",6,"pcdh18b"
"553",6,"LOC102798966"
"554",6,"castor1"
"555",6,"taok3a"
"556",6,"wu:fa11c10"
"557",6,"LOC102790328"
"558",6,"kcnh7"
"559",6,"LOC102777215"
"560",6,"otog"
"561",6,"wdhd1"
"562",6,"prc1b"
"563",6,"gdpd5b"
"564",6,"atp11a"
"565",6,"mbnl2"
"566",6,"abat"
"567",6,"rtbdn"
"568",6,"galnt17"
"569",6,"si:dkey-225f5.4"
"570",6,"ndrg4"
"571",6,"htr7c"
"572",6,"LOC102785936"
"573",6,"LOC118455400"
"574",6,"creb3l4"
"575",6,"LOC102789944"
"576",6,"grk5l"
"577",6,"igsf9b"
"578",6,"LOC102780375"
"579",6,"ptp4a1"
"580",6,"LOC102783843"
"581",6,"en2b"
"582",6,"fam110b"
"583",6,"elavl2"
"584",6,"LOC102800122"
"585",6,"LOC102777423"
"586",6,"mpped1"
"587",6,"LOC102786625"
"588",6,"LOC102794755"
"589",6,"LOC102776643"
"590",6,"LOC102783373"
"591",6,"LOC102795831"
"592",6,"btbd3b"
"593",6,"si:dkey-172j4.3"
"594",6,"tmem256"
"595",6,"kdm6ba"
"596",6,"LOC102788025"
"597",6,"LOC102796429"
"598",6,"nptx1l"
"599",6,"arrdc2"
"600",6,"chd7"
"601",6,"LOC102793732"
"602",6,"ikbkg"
"603",6,"LOC102778488"
"604",6,"bod1l1"
"605",6,"LOC102788900"
"606",6,"dhrs7b"
"607",6,"LOC102792651"
"608",6,"khnyn"
"609",6,"LOC102780294"
"610",6,"LOC102777809"
"611",6,"fam117ba"
"612",6,"LOC102797333"
"613",6,"LOC102782421"
"614",6,"LOC102798904"
"615",6,"LOC102798129"
"616",6,"LOC102781943"
"617",6,"LOC102795178"
"618",6,"LOC102798527"
"619",6,"LOC102778707"
"620",6,"LOC118453669"
"621",8,"supv3l1"
"622",8,"rfx7a"
"623",8,"LOC102792513"
"624",8,"LOC102799911"
"625",8,"frmpd1b"
"626",8,"stag2b"
"627",8,"snta1"
"628",8,"LOC102785456"
"629",8,"fam149b1"
"630",8,"rtkn"
"631",8,"LOC102778564"
"632",8,"si:ch211-232b12.5"
"633",8,"mntb"
"634",8,"LOC102783375"
"635",8,"arhgap4b"
"636",8,"mib2"
"637",8,"LOC102795436"
"638",8,"nsd2"
"639",8,"eif2ak4"
"640",8,"cnn2"
"641",8,"ppm1k"
"642",8,"wdr19"
"643",8,"kdm4c"
"644",8,"stx8"
"645",8,"LOC102782619"
"646",8,"rprd2a"
"647",8,"klf13"
"648",8,"bbs10"
"649",8,"poll"
"650",8,"dnajb1a"
